Month: 1 | Well_ID: 1 | Groundwater_Level: 10.993428306022466 | Precipitation: 52.50449005295815 | Temperature: 21.391312233313734 | Evapotranspiration: 21.76064513028 | Pumping_Rate: 115.2106081640607 | Land_Use: Urban
Month: 2 | Well_ID: 1 | Groundwater_Level: 9.889945230058252 | Precipitation: 41.41188917749494 | Temperature: 25.88410436069699 | Evapotranspiration: 22.808905485508138 | Pumping_Rate: 98.27813904777892 | Land_Use: Agricultural
Month: 3 | Well_ID: 1 | Groundwater_Level: 11.627169341588216 | Precipitation: 52.44595006064568 | Temperature: 22.266599577063673 | Evapotranspiration: 50.49812095785926 | Pumping_Rate: 58.13654485734785 | Land_Use: Natural
Month: 4 | Well_ID: 1 | Groundwater_Level: 13.540867631325098 | Precipitation: 60.865960580727766 | Temperature: 23.641724448369732 | Evapotranspiration: 30.006828189574826 | Pumping_Rate: 78.76267177977775 | Land_Use: Urban
Month: 5 | Well_ID: 1 | Groundwater_Level: 10.186082644145632 | Precipitation: 50.977201406514084 | Temperature: 33.36726045149268 | Evapotranspiration: 37.82130001531459 | Pumping_Rate: 92.11759756940488 | Land_Use: Natural
Month: 6 | Well_ID: 1 | Groundwater_Level: 10.341155213223889 | Precipitation: 50.811833824077645 | Temperature: 31.70230525895174 | Evapotranspiration: 22.091006183324467 | Pumping_Rate: 52.12318094277659 | Land_Use: Agricultural
Month: 7 | Well_ID: 1 | Groundwater_Level: 14.117276708223189 | Precipitation: 35.96016624386489 | Temperature: 18.502093815362013 | Evapotranspiration: 22.201470537783614 | Pumping_Rate: 77.82914025930302 | Land_Use: Natural
Month: 8 | Well_ID: 1 | Groundwater_Level: 12.636487650079756 | Precipitation: 36.74198164898103 | Temperature: 29.148662089395874 | Evapotranspiration: 40.81984809249942 | Pumping_Rate: 119.5699101453004 | Land_Use: Agricultural
Month: 9 | Well_ID: 1 | Groundwater_Level: 10.29779083426957 | Precipitation: 21.94789456400613 | Temperature: 29.05698277245796 | Evapotranspiration: 16.504237884484677 | Pumping_Rate: 142.8191609286765 | Land_Use: Urban
Month: 10 | Well_ID: 1 | Groundwater_Level: 12.448397607218599 | Precipitation: 84.99153486373879 | Temperature: 19.25868355623691 | Evapotranspiration: 25.847862320947286 | Pumping_Rate: 87.41695742024348 | Land_Use: Urban
Month: 11 | Well_ID: 1 | Groundwater_Level: 10.55351832076715 | Precipitation: 25.122735292174298 | Temperature: 29.093888218774303 | Evapotranspiration: 30.34027411072232 | Pumping_Rate: 122.69465062948295 | Land_Use: Natural
Month: 12 | Well_ID: 1 | Groundwater_Level: 10.655696099357371 | Precipitation: 36.141896044081854 | Temperature: 32.68965959206277 | Evapotranspiration: 31.113726018400524 | Pumping_Rate: 42.57819788237598 | Land_Use: Agricultural
Month: 13 | Well_ID: 1 | Groundwater_Level: 12.166866512747863 | Precipitation: 35.63185468861605 | Temperature: 19.38727596877793 | Evapotranspiration: 28.209067149838436 | Pumping_Rate: 119.78353723340834 | Land_Use: Agricultural
Month: 14 | Well_ID: 1 | Groundwater_Level: 7.940487508207811 | Precipitation: 67.89848753888883 | Temperature: 20.412485894928682 | Evapotranspiration: 33.958197810959234 | Pumping_Rate: 75.88154755817557 | Land_Use: Agricultural
Month: 15 | Well_ID: 1 | Groundwater_Level: 8.389054293481445 | Precipitation: 44.101006434159444 | Temperature: 30.08830733421751 | Evapotranspiration: 36.92855755817811 | Pumping_Rate: 109.22036850123911 | Land_Use: Natural
Month: 16 | Well_ID: 1 | Groundwater_Level: 10.773394180229229 | Precipitation: 74.95484145347467 | Temperature: 26.35747655412824 | Evapotranspiration: 37.3463754545933 | Pumping_Rate: 92.56742745280872 | Land_Use: Agricultural
